artificial neural network	recurrent neural network	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '05f9c77bc95f525aae309a756ef9ba51c77e9dab': 2, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2, '92403370513c6a2c29f4891767a7c29f5451da85': 2}
book constitutes	topical sections named	{'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2}
book constitutes	refereed proceedings	{'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2}
book constitutes	carefully reviewed	{'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2}
topical sections named	refereed proceedings	{'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2}
topical sections named	carefully reviewed	{'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2}
refereed proceedings	carefully reviewed	{'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2}
gradient descent	algorithm	{'8921334bc63459579993b6d6bdd9a88f56568b4c': 2}
throughput	simulation	{'ca6537a622a12ebf561c3c82b327898e3c3fd036': 2}
simulation	algorithm	{'df74ac2d69b6e304657443d96cc4718a54a57add': 2, '0d8896faafee2e1352321b44633a93a6fc4832eb': 2, '4715ec456a60a6500967ccdcbc5a12c7bc0381ba': 2, '4572c5b6ac17297e99c7da35d1af07869018b2b2': 2, '501915fdc53005def0a0256a4a59795f0843b9ca': 2}
controllers	neural network simulation	{'76eddfeade1369f7f9e147ad8ae2fb6fc83e274d': 2}
genetic algorithm	mathematical optimization	{'58fc5d7e64ed2c4b20f87972f55ee05ef21d254d': 2}
control system	nonlinear system	{'3de66a2317f3d577e02541d43ba989464cdf404c': 2}
control system	simulation	{'3de66a2317f3d577e02541d43ba989464cdf404c': 2}
artificial neural network	convolution	{'033f96352cfc7157bbd36f2975acb1928a0cfa9d': 2}
algorithm	random forest	{'a97d06fad7f95cfd02ad5ea93971b44a77af585f': 2}
simulation	heuristic	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
controllers	numerical analysis	{'76eddfeade1369f7f9e147ad8ae2fb6fc83e274d': 2}
agent architecture	game engine	{'49983e1f3867dced3c71336572cdb4af80e0e2e3': 2, 'd812b4b1b7868434bccb79c5fe0bcf6f72def6f9': 2, '8a88c3e2f20288ef4f9c0e064bfcdee75d74686c': 2}
agent architecture	server message block	{'49983e1f3867dced3c71336572cdb4af80e0e2e3': 2, 'd812b4b1b7868434bccb79c5fe0bcf6f72def6f9': 2, '8a88c3e2f20288ef4f9c0e064bfcdee75d74686c': 2}
agent architecture	interaction	{'49983e1f3867dced3c71336572cdb4af80e0e2e3': 2, 'd812b4b1b7868434bccb79c5fe0bcf6f72def6f9': 2, '8a88c3e2f20288ef4f9c0e064bfcdee75d74686c': 2}
game engine	server message block	{'49983e1f3867dced3c71336572cdb4af80e0e2e3': 2, 'd812b4b1b7868434bccb79c5fe0bcf6f72def6f9': 2, '8a88c3e2f20288ef4f9c0e064bfcdee75d74686c': 2}
game engine	interaction	{'49983e1f3867dced3c71336572cdb4af80e0e2e3': 2, 'd812b4b1b7868434bccb79c5fe0bcf6f72def6f9': 2, '8a88c3e2f20288ef4f9c0e064bfcdee75d74686c': 2}
server message block	interaction	{'49983e1f3867dced3c71336572cdb4af80e0e2e3': 2, 'd812b4b1b7868434bccb79c5fe0bcf6f72def6f9': 2, '8a88c3e2f20288ef4f9c0e064bfcdee75d74686c': 2}
exponential family embeddings	word embeddings	{'928cff79a29cc459cbe494ea8632a22d5fa16d46': 2, 'e1a871ebcbdb538e4a99698af73fac2209d9ac2c': 2}
exponential family embeddings	powerful approach	{'928cff79a29cc459cbe494ea8632a22d5fa16d46': 2, 'e1a871ebcbdb538e4a99698af73fac2209d9ac2c': 2}
word embeddings	powerful approach	{'928cff79a29cc459cbe494ea8632a22d5fa16d46': 2, 'e1a871ebcbdb538e4a99698af73fac2209d9ac2c': 2}
cognitive radio	quality of service	{'26357af009d523fa9dd38f7292445097b0b1f984': 2}
association rule learning	cluster analysis	{'1a676fc7a75da85113ca4e48c183ff9cd56feadc': 2}
genetic algorithm	experiment	{'42cc78057095de2fadef64664d0303a36dca0310': 2}
cluster analysis	mathematical optimization	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
interference (communication)	algorithm	{'6cb84a04a4acf53cf04ee6093f8f1dda2b0e4dd4': 2}
neural coding	algorithm	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2}
neural coding	sparse matrix	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2}
mathematical optimization	differential evolution	{'f28a593c4a9940e448b6075000ef00d8a624a39b': 2}
polynomial	simulation	{'4f558859ab5805e3c86f2473627526066bca41fb': 2, '3de66a2317f3d577e02541d43ba989464cdf404c': 2}
artificial neural network	global exponential stability	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
artificial neural network	hopfield network	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2, '2d9275ece979d2e189f689679f32500edff003f9': 2}
artificial neural network	spectral leakage	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
global exponential stability	numerical analysis	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
global exponential stability	social inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
numerical analysis	hopfield network	{'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2, '2d9275ece979d2e189f689679f32500edff003f9': 2}
hopfield network	social inequality	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
hopfield network	spectral leakage	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
social inequality	spectral leakage	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2}
natural language processing	artificial neural network	{'033f96352cfc7157bbd36f2975acb1928a0cfa9d': 2}
natural language processing	convolution	{'033f96352cfc7157bbd36f2975acb1928a0cfa9d': 2}
natural language processing	computer vision	{'033f96352cfc7157bbd36f2975acb1928a0cfa9d': 2, '58ad1b51d45717f5fd896dab7ea22f57a950c606': 2, 'df68c57b01d8eb848159026e6cbbc12d902142c7': 2, '45972523aae6f7ee9d46a882b9778e2fe442454f': 2}
convolution	computer vision	{'033f96352cfc7157bbd36f2975acb1928a0cfa9d': 2}
heuristic	mathematical optimization	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
algorithm	outline of object recognition	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2}
outline of object recognition	sparse matrix	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2}
sparse matrix	machine learning	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2}
numerical analysis	linear matrix inequality	{'ceb8a29e77434e5348d9d50f25b3eafb21b2bd95': 2}
statistical model	stan	{'073d891e3a99cdfb0900d36b7033c7fb51578682': 2}
network packet	swarm intelligence	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
network packet	cluster analysis	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
network packet	swarm intelligence 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
network packet	wireless sensor networks 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
network packet	routing	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
throughput	swarm intelligence	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
throughput	swarm intelligence 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
throughput	wireless sensor networks 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
throughput	routing	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
swarm intelligence	cluster analysis	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
swarm intelligence	swarm intelligence 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
swarm intelligence	wireless sensor networks 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
swarm intelligence	routing	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
cluster analysis	swarm intelligence 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
cluster analysis	wireless sensor networks 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
cluster analysis	routing	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
swarm intelligence 	wireless sensor networks 	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
swarm intelligence 	routing	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
wireless sensor networks 	routing	{'3eb550ebc368cd96659354a6917d8e02a408690e': 2, 'cf3f9d4947d2f75e87aa732aa1295d064d226f45': 2}
diverse ranking model	search result diversification	{'1462e04fdffca4001376dd74ce4053fa6718a88a': 2, '70c71aa447e74d5896818f326fb32e22ce0c2464': 2, '7318b51b7d2c8d02affabb3b7a462332334a3f81': 2}
diverse ranking model	art baselines	{'1462e04fdffca4001376dd74ce4053fa6718a88a': 2, '70c71aa447e74d5896818f326fb32e22ce0c2464': 2, '7318b51b7d2c8d02affabb3b7a462332334a3f81': 2}
diverse ranking model	significantly outperform	{'1462e04fdffca4001376dd74ce4053fa6718a88a': 2, '70c71aa447e74d5896818f326fb32e22ce0c2464': 2, '7318b51b7d2c8d02affabb3b7a462332334a3f81': 2}
search result diversification	art baselines	{'1462e04fdffca4001376dd74ce4053fa6718a88a': 2, '70c71aa447e74d5896818f326fb32e22ce0c2464': 2, '7318b51b7d2c8d02affabb3b7a462332334a3f81': 2}
search result diversification	significantly outperform	{'1462e04fdffca4001376dd74ce4053fa6718a88a': 2, '70c71aa447e74d5896818f326fb32e22ce0c2464': 2, '7318b51b7d2c8d02affabb3b7a462332334a3f81': 2}
art baselines	significantly outperform	{'1462e04fdffca4001376dd74ce4053fa6718a88a': 2, '70c71aa447e74d5896818f326fb32e22ce0c2464': 2, '7318b51b7d2c8d02affabb3b7a462332334a3f81': 2}
benchmark (computing)	swarm intelligence	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
simulation	cluster analysis	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2, '48ed47bc634c00aeeb5e9b68d4b445568c758579': 2}
sensor	neural coding	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2}
sensor	sparse matrix	{'fefa7820366b70ccd0bfe44f26d1df1bf45900bb': 2}
big data	cloud computing	{'af6ed8420a75c025a6212b3234e01037e398eb5c': 2, '915457871a902d54aa4e0b6c1b9391c54fa9839c': 2}
cloud computing	machine learning	{'bddd89b43bc744702310214c85ee31f0156a7d9a': 2, 'facab7a64106225ec19eae3ac77d0c10da64d8e3': 2}
actuator faults	markov process	{'3de66a2317f3d577e02541d43ba989464cdf404c': 2}
inference	mathematical optimization	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
cognitive radio	algorithm	{'26357af009d523fa9dd38f7292445097b0b1f984': 2}
particle swarm optimization	simulation	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
mathematical optimization	multi-objective optimization	{'58fc5d7e64ed2c4b20f87972f55ee05ef21d254d': 2}
particle swarm optimization	two-factors second-order fuzzy-trend logical relationship groups	{'d14207b36c993c6c8b711f1bd9da315299beddff': 2}
semiconductor industry	numerical method	{'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2}
firefly (cache coherence protocol)	benchmark (computing)	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly (cache coherence protocol)	swarm intelligence	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly (cache coherence protocol)	firefly algorithm	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly (cache coherence protocol)	premature convergence	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly (cache coherence protocol)	mathematical optimization	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly (cache coherence protocol)	experiment	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
benchmark (computing)	firefly algorithm	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
benchmark (computing)	premature convergence	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
time complexity	experiment	{'e4477b8c72948f6299941526bded6b1c9b1ef182': 2}
swarm intelligence	firefly algorithm	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
swarm intelligence	premature convergence	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
swarm intelligence	experiment	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly algorithm	premature convergence	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly algorithm	mathematical optimization	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly algorithm	experiment	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
premature convergence	mathematical optimization	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
premature convergence	experiment	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
adversarial inputs	adversarial examples	{'4c3135759c6718d23d2048191ecd6deabe6b24fd': 2}
adversarial examples	open problem	{'4c3135759c6718d23d2048191ecd6deabe6b24fd': 2}
adversarial examples	machine learning	{'4c3135759c6718d23d2048191ecd6deabe6b24fd': 3, '06112252d8032f58d77048df247759fe5a6bd8a8': 2}
open problem	machine learning	{'4c3135759c6718d23d2048191ecd6deabe6b24fd': 2}
fukuoka japan	carefully reviewed	{'93e6d06186b6fc7d855a3c5fe20aa6afbdcb6c5b': 2, 'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2, 'ccd565fa6528c561473c5c2fba429bdf75a1c631': 2}
natural language processing	convolutional neural network	{'58ad1b51d45717f5fd896dab7ea22f57a950c606': 2, 'df68c57b01d8eb848159026e6cbbc12d902142c7': 2, '45972523aae6f7ee9d46a882b9778e2fe442454f': 2}
artificial neural network	autoencoder	{'be017abdce820201a8432b49701e81144ecedc6a': 2}
autoencoder	deep learning	{'be017abdce820201a8432b49701e81144ecedc6a': 2}
autoencoder	algorithm	{'be017abdce820201a8432b49701e81144ecedc6a': 2}
particle swarm optimization	inference	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
particle swarm optimization	statistical cluster	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
particle swarm optimization	cluster analysis	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
particle swarm optimization	heuristic	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
inference	statistical cluster	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
inference	simulation	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
inference	cluster analysis	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
inference	heuristic	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
statistical cluster	simulation	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
statistical cluster	cluster analysis	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
statistical cluster	heuristic	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
statistical cluster	mathematical optimization	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
cluster analysis	heuristic	{'83af7fd870709b2f1af20091900ea5bce929ec59': 2, '25dc7d8722f0ac7eaf6f5fb438af7d07c8f93405': 2}
natural language processing	encoder	{'58ad1b51d45717f5fd896dab7ea22f57a950c606': 2, 'df68c57b01d8eb848159026e6cbbc12d902142c7': 2, '45972523aae6f7ee9d46a882b9778e2fe442454f': 2}
encoder	computer vision	{'58ad1b51d45717f5fd896dab7ea22f57a950c606': 2, 'df68c57b01d8eb848159026e6cbbc12d902142c7': 2, '45972523aae6f7ee9d46a882b9778e2fe442454f': 2}
sugeno fuzzy	parametric uncertainties	{'4f558859ab5805e3c86f2473627526066bca41fb': 2}
sugeno fuzzy	markov process	{'4f558859ab5805e3c86f2473627526066bca41fb': 2}
parametric uncertainties	markov process	{'4f558859ab5805e3c86f2473627526066bca41fb': 2}
parametric uncertainties	affine model	{'4f558859ab5805e3c86f2473627526066bca41fb': 2}
markov process	affine model	{'4f558859ab5805e3c86f2473627526066bca41fb': 2}
single channel	target assignment pick	{'4b67a33efbd37ec5450a229ce7c7285e74317ae9': 2, 'a1358424dd44543987fbe645c3b295339b7fc400': 2, '6119ecda19af52efb66331e3619e639be6f86c75': 2}
single channel	automatic speech recognition	{'4b67a33efbd37ec5450a229ce7c7285e74317ae9': 2, 'a1358424dd44543987fbe645c3b295339b7fc400': 2, '6119ecda19af52efb66331e3619e639be6f86c75': 2}
single channel	strategy elegantly solves	{'4b67a33efbd37ec5450a229ce7c7285e74317ae9': 2, 'a1358424dd44543987fbe645c3b295339b7fc400': 2, '6119ecda19af52efb66331e3619e639be6f86c75': 2}
target assignment pick	automatic speech recognition	{'4b67a33efbd37ec5450a229ce7c7285e74317ae9': 2, 'a1358424dd44543987fbe645c3b295339b7fc400': 2, '6119ecda19af52efb66331e3619e639be6f86c75': 2}
target assignment pick	strategy elegantly solves	{'4b67a33efbd37ec5450a229ce7c7285e74317ae9': 2, 'a1358424dd44543987fbe645c3b295339b7fc400': 2, '6119ecda19af52efb66331e3619e639be6f86c75': 2}
automatic speech recognition	strategy elegantly solves	{'4b67a33efbd37ec5450a229ce7c7285e74317ae9': 2, 'a1358424dd44543987fbe645c3b295339b7fc400': 2, '6119ecda19af52efb66331e3619e639be6f86c75': 2}
experimental results	deep neural networks	{'62fdb3b86c304a4e15f7ed92701fbfc42485c871': 2, '7cde35f89ea14436a12312649ec72adcd52b618b': 2, '9f8502a9af3b11ee4eb9e5a763048f0ad22425ee': 2}
experimental results	mnist cifar10	{'62fdb3b86c304a4e15f7ed92701fbfc42485c871': 2, '7cde35f89ea14436a12312649ec72adcd52b618b': 2, '9f8502a9af3b11ee4eb9e5a763048f0ad22425ee': 2}
deep neural networks	mnist cifar10	{'62fdb3b86c304a4e15f7ed92701fbfc42485c871': 2, '7cde35f89ea14436a12312649ec72adcd52b618b': 2, '9f8502a9af3b11ee4eb9e5a763048f0ad22425ee': 2}
baxter (robot)	artificial neural network	{'ad92b5fc2e89c5d7b3634ccd4811c7ed03964417': 2}
baxter (robot)	experiment	{'ad92b5fc2e89c5d7b3634ccd4811c7ed03964417': 2}
algorithm design and analysis	prediction algorithms	{'95cea758ecdcf6e73841fb60a47be70d728302c7': 2}
electronic communications	noncanonical communication	{'28292d2c328af61c2e41eb88466ca0d43948dfd6': 2}
recurrent neural network	lyapunov fractal	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '013b3adce4b0209c490e0b4c138029624cb88d8d': 2}
force misclassification	adversarial examples	{'4c3135759c6718d23d2048191ecd6deabe6b24fd': 2}
paper presents	http url	{'fab5a5083a0ecb0a63369a34a9a193e370e33e32': 2, '89c51beff44f866770f38541cf17cc2d168555da': 2, '2a96b573b156652ffb45955c96539eba4a6fc14f': 2, '322cd80b877c97df7dcd128a85785d430cdd4695': 2}
generative adversarial networks	instability	{'6f286981b9c560c1ee412b164bd998529af867e3': 2}
link prediction	proposed framework	{'13f31eb6e11ff9fe26a81883bfc6966e84345692': 2}
link prediction	node attributes	{'1a8a814cf08f5bf5f6b908057adfec107c0779ce': 2, '4dd3586e4410d2c683ee0bf349f091874b9d0e1b': 2}
global optimization 	firefly algorithm	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
global optimization 	firefly algorithm (fa) 	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
firefly algorithm	firefly algorithm (fa) 	{'56a50a8ae718c39d47ed17febf6c48ad1f208e62': 2}
microblogs 	sentiment analysis 	{'9f43b6690240098fe1f3b3dfc402226d0fc36d4b': 2, 'dd263b4c287598b050ed50f1420121c621b153f1': 2}
microblogs 	frame semantics 	{'9f43b6690240098fe1f3b3dfc402226d0fc36d4b': 2, 'dd263b4c287598b050ed50f1420121c621b153f1': 2}
microblogs 	babelnet 	{'9f43b6690240098fe1f3b3dfc402226d0fc36d4b': 2, 'dd263b4c287598b050ed50f1420121c621b153f1': 2}
sentiment analysis 	frame semantics 	{'9f43b6690240098fe1f3b3dfc402226d0fc36d4b': 2, 'dd263b4c287598b050ed50f1420121c621b153f1': 2}
sentiment analysis 	babelnet 	{'9f43b6690240098fe1f3b3dfc402226d0fc36d4b': 2, 'dd263b4c287598b050ed50f1420121c621b153f1': 2}
frame semantics 	babelnet 	{'9f43b6690240098fe1f3b3dfc402226d0fc36d4b': 2, 'dd263b4c287598b050ed50f1420121c621b153f1': 2}
cluster analysis	feature selection	{'1a676fc7a75da85113ca4e48c183ff9cd56feadc': 2}
baxter (robot)	approximation	{'ad92b5fc2e89c5d7b3634ccd4811c7ed03964417': 2}
approximation	experiment	{'ad92b5fc2e89c5d7b3634ccd4811c7ed03964417': 2}
next-generation network	cognitive radio	{'26357af009d523fa9dd38f7292445097b0b1f984': 2}
scheduling (computing)	mathematical optimization	{'fd1ed77601968ebc5bb439035860c8d414f53864': 2}
artificial neural network	scheduling (computing)	{'fd1ed77601968ebc5bb439035860c8d414f53864': 2}
scheduling (computing)	deep learning	{'fd1ed77601968ebc5bb439035860c8d414f53864': 2}
dual	mathematical optimization	{'85ebf53e9f07ac1ab9be006898c1d2eec718d250': 2}
british informatics olympiad	computation	{'cd0cd2d95f5e02e8efe3f6fd3aa8243ac2a416b3': 2}
british informatics olympiad	mathematical optimization	{'cd0cd2d95f5e02e8efe3f6fd3aa8243ac2a416b3': 2}
sensitivity and specificity	feature selection	{'1a676fc7a75da85113ca4e48c183ff9cd56feadc': 2}
association rule learning	sensitivity and specificity	{'1a676fc7a75da85113ca4e48c183ff9cd56feadc': 2}
association rule learning	feature selection	{'1a676fc7a75da85113ca4e48c183ff9cd56feadc': 2}
sensitivity and specificity	cluster analysis	{'1a676fc7a75da85113ca4e48c183ff9cd56feadc': 2}
estimated	simulation	{'d7c0c496c7f496a4abadfa33f23a35bbbad5d7ce': 2}
lyapunov fractal	inverted pendulum	{'63bf1964ffe56320c03155e765571cb57d27748d': 2}
